ACCX,GYRX,ACCY,GYRY,ACCZ,GYRZ
16768,65185,36,137,63192,50
16804,65154,65476,123,63300,69
16700,65172,65464,151,63308,55
16672,65173,65496,159,63272,29
16660,65169,65484,148,63224,46
16680,65155,52,151,63224,72
16704,65178,65500,147,63252,43
16712,65182,65512,142,63144,57
16700,65175,65484,127,63160,44
16628,65162,65460,146,63388,52
16676,65169,65532,148,63180,19
16668,65172,65472,122,63172,16
16724,65181,65496,146,63420,35
16684,65175,32,133,63316,18
16732,65152,65472,145,63252,34
16692,65188,65500,121,63248,12
16716,65164,65520,158,63260,43
16676,65187,0,143,63268,23
16696,65162,65532,148,63292,32
16672,65149,65512,143,63316,13
16740,65151,65508,162,63320,30
16712,65159,65516,153,63056,46
16744,65166,65500,138,63272,41
16608,65178,65496,118,63220,55
16708,65173,65524,141,63364,86
16668,65192,65492,134,63288,36
16784,65168,65504,124,63360,49
16680,65165,65460,138,63144,56
16684,65176,65448,152,63360,32
16644,65166,65476,118,63220,48
16644,65181,65412,174,63284,38
167,195,65428,14256,32,0
16608,65150,4,155,63360,51
16664,65170,65444,117,63228,40
16596,65190,68,120,62964,33
16704,65169,65468,151,63260,61
16636,65163,65468,143,63236,58
16664,65173,65440,137,63220,57
16776,65181,44,172,63304,68
16692,65171,65492,166,63304,46
16652,65177,65528,172,63340,44
16692,65164,65464,164,63160,75
16680,65155,65512,137,63356,43
16716,65161,65528,152,63364,39
16652,65169,65484,128,63264,21
16576,65167,65444,162,63264,64
16688,65188,65520,141,63332,15
16692,65181,65488,113,63000,31
16700,65152,65456,176,63040,26
16728,65164,65416,134,63192,33
16656,65191,65412,128,63272,34
16724,65164,65520,126,63204,14
16772,65157,65508,153,63132,21
16728,65150,65468,168,63164,47
16700,65167,65376,160,63288,21
16760,65139,16,155,63364,65530
16696,65163,65460,132,63216,31
16712,65159,65480,136,63156,6
16652,65166,8,137,63308,8
16748,65186,0,149,63136,36
16784,65184,0,139,63208,30
16752,65180,65472,148,63200,11
16716,65152,12,154,63196,42
16620,65172,16,149,63236,24
16644,65161,65532,138,63176,69
16692,65177,65520,136,63164,31
16716,65157,65492,161,63160,16
16728,65180,65492,150,63148,44
16644,65171,72,133,63284,28
16728,65168,65436,160,63180,72
16708,65141,28,158,63308,44
16676,65173,65436,124,63148,52
16580,65164,65504,111,63136,43
16704,65153,65520,170,63224,25
16656,65163,65456,151,63304,44
16804,65169,65436,140,63152,68
16756,65168,65488,148,63144,33
16716,65177,65532,172,63352,41
16716,65170,65516,123,63324,37
16708,65159,65512,155,63232,4
16768,65172,65488,162,63304,19
16640,65143,65452,134,63344,10
16660,65185,65496,133,63112,25
16756,65155,65504,138,63220,32
16748,65150,65484,121,63268,40
16676,65159,65516,141,63244,43
16692,65183,8,134,63388,40
16652,65187,65456,154,63256,3
16664,65186,65504,175,63256,26
16612,65190,65480,163,63384,28
16636,65157,20,143,63240,23
16692,65184,32,149,63272,24
16792,65143,65432,162,63204,18
16668,65184,16,124,63272,17
16616,65172,0,130,63348,51
16780,65158,40,128,63236,1
16592,65153,65456,158,63264,42
16704,65148,28,152,63160,10
16696,65172,65436,141,63148,31
16688,65181,65528,127,63260,36
16592,65164,65472,122,63232,13
16644,65173,65504,143,63336,35
16740,65183,204,140,63264,51
16644,65201,65524,142,63264,55
16636,65200,65516,138,63164,39
16644,65169,65448,106,63220,49
16668,65169,65488,133,63328,45
16704,65153,32,128,63232,70
16676,65178,65448,143,63232,74
16668,65182,65464,149,63136,60
16744,65147,65508,146,63128,32
16652,65168,65480,130,63240,32
16632,65166,65496,155,63332,48
16712,65163,65472,142,63308,56
16716,65166,52,133,63120,32
16672,65182,56,156,63168,35
16680,65157,65532,147,63384,25
16680,65144,40,154,63080,56
16564,65173,65400,133,63292,37
16628,65166,8,131,63084,46
16616,65188,65476,136,63328,15
16652,65161,65504,164,63324,53
16640,65167,0,127,63332,37
16648,65166,4,116,63236,36
16672,65177,65484,142,63176,20
16656,65169,65500,133,63252,34
16728,65161,65472,162,63308,18
16784,65182,65472,120,63168,31
16740,65163,65436,164,63292,23
16684,65158,48,133,63360,50
16656,65179,65464,148,63196,66
16768,65191,65472,109,63232,38
16672,65160,65532,127,63288,49
